provider,health_system_name,hospital_ownership,code,code_type,charge_description,code_class,plan_raw,mapped_payer,mapped_payer_class,rate,medicare_provider_id,npi,long,lat,street_address,city,state,zip_code,county,medicare_cbsa,acute_care_facility,hospital_overall_rating,hospital_type,total_beds,location,tq_compliance_score,cms_quality_rating,effectiveness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,mortality_national_comparison,patient_experience_national_comparison,readmission_national_comparison,safety_of_care_national_comparison,timeliness_of_care_national_comparison
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Americas Choice HealthPlan,Unsorted,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem BCBS PPO,Blue Cross Blue Shield,Commercial,391.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem Blue Prefered,Blue Cross,Commercial,391.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem Federal,Blue Cross,Commercial,391.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem Highmark PPO,Highmark,Commercial,391.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem Medicare Select,Blue Cross,Medicare,335.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem Senior Advantage,Blue Cross,Medicare,335.72,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Anthem Traditional,Blue Cross,Commercial,431.20,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Apex Benefits Svc,Unsorted,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Apex Health Solutions,Unsorted,Medicare,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,APWU Health Plan Cigna,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,ASR Health Benefits Cigna,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Assurant Health OHC,Unsorted,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Assurant Health PHCS,PHCS,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultcare Cigna,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultcare DCA,AultCare,Commercial,414.20,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultcare Healthsmart,HealthSmart,Commercial,381.50,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultcare OPN,AultCare,Commercial,405.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultcare PPO,AultCare,Commercial,353.16,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultcare QCP,AultCare,Commercial,392.40,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultcare Select,SelectHealth,Commercial,353.16,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultra Adm Grp Health Reach OHG,Unsorted,Commercial,409.84,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultra Adm Grp Healthsmart,HealthSmart,Commercial,381.50,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultra Adm Grp OHC,Unsorted,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultra Adm Grp Quality Care Par,Unsorted,Commercial,392.40,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Aultra Admin Group OPN,Unsorted,Commercial,405.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Benefit Services OHC,Unsorted,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Bind Benefits Inc UHC,United Healthcare,Commercial,374.96,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,BPA,Unsorted,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Caresource Marketplace,Caresource,Commercial,366.24,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cash Price,Cash Price,Self-Pay,327.00,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,CDPHP FHN,Capital District Physicians Health Plan,Commercial,414.20,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Choice Benefits Cigna PPO,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna Beechstreet,Cigna,Commercial,405.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna Behavioral Health,Cigna,Commercial,370.60,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna Great West,Great West,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna Healthcare Medicare,Cigna,Medicare,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna International,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna Ironworkers,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cigna PPO,Cigna,Commercial,376.27,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,ClaimEdix Inc,Unsorted,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cleve Clinic Hlth Sys,Unsorted,Commercial,370.60,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cleve Hlth Network,Unsorted,Commercial,370.60,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cofinity Best Life,Unsorted,Commercial,409.84,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Cofinity PPO,Unsorted,Commercial,409.84,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Commerce Benefit Grp DCA,Unsorted,Commercial,414.20,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Commerce Benefit Grp Healthsmar,Unsorted,Commercial,381.50,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Commerce Benefit Grp Multiplan,Multiplan,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Commerce Benefit Grp OPN,Unsorted,Commercial,405.48,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Commerce Benefit Grp PHCS,PHCS,Commercial,383.68,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Continental Benefits,Unsorted,Commercial,374.96,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Akron Children's Hospital,Childrens Hospital Medical Center of Akron,Voluntary non-profit - Private,"71046",CPT,"RADIOLOGIC EXAMINAITON, CHEST, TWO VIEWS",Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,Coresource Aetna,Aetna,Commercial,374.96,"363303","1861506560",-81.526789,41.078421,One Perkins Square,Akron,OH,"44308",Summit,"Akron, OH",true,,Childrens,297,POINT (-81.526789 41.078421),4,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
